dataset	short_step	short_pairs	short_mean_score	short_status	long_step	long_pairs	long_mean_score	long_status	renders_dir	message
garden_36	1	160	0.188217	success	5	156	0.463666	success	/mnt/data2/experiments/3dgs/output_Stylized/garden_36/train/ours_31500/renders	
garden_37	1	160	0.228747	success	5	156	0.582515	success	/mnt/data2/experiments/3dgs/output_Stylized/garden_37/train/ours_31500/renders	
garden_38	1	160	0.211129	success	5	156	0.560942	success	/mnt/data2/experiments/3dgs/output_Stylized/garden_38/train/ours_31500/renders	
garden_39	1	160	0.197066	success	5	156	0.523579	success	/mnt/data2/experiments/3dgs/output_Stylized/garden_39/train/ours_31500/renders	
garden_40	1	160	0.201986	success	5	156	0.510219	success	/mnt/data2/experiments/3dgs/output_Stylized/garden_40/train/ours_31500/renders	
garden_41	1	160	0.192022	success	5	156	0.530533	success	/mnt/data2/experiments/3dgs/output_Stylized/garden_41/train/ours_31500/renders	
garden_42	1	160	0.181882	success	5	156	0.471930	success	/mnt/data2/experiments/3dgs/output_Stylized/garden_42/train/ours_31500/renders	
garden_43	1	160	0.164933	success	5	156	0.498709	success	/mnt/data2/experiments/3dgs/output_Stylized/garden_43/train/ours_31500/renders	
garden_44	1	160	0.182081	success	5	156	0.468598	success	/mnt/data2/experiments/3dgs/output_Stylized/garden_44/train/ours_31500/renders	
garden_45	1	160	0.241553	success	5	156	0.627035	success	/mnt/data2/experiments/3dgs/output_Stylized/garden_45/train/ours_31500/renders	
garden_46	1	160	0.196138	success	5	156	0.512108	success	/mnt/data2/experiments/3dgs/output_Stylized/garden_46/train/ours_31500/renders	
garden_47	1	160	0.243002	success	5	156	0.572386	success	/mnt/data2/experiments/3dgs/output_Stylized/garden_47/train/ours_31500/renders	
garden_48	1	160	0.206837	success	5	156	0.534783	success	/mnt/data2/experiments/3dgs/output_Stylized/garden_48/train/ours_31500/renders	
garden_49	1	160	0.182085	success	5	156	0.450809	success	/mnt/data2/experiments/3dgs/output_Stylized/garden_49/train/ours_31500/renders	
garden_50	1	160	0.224783	success	5	156	0.545602	success	/mnt/data2/experiments/3dgs/output_Stylized/garden_50/train/ours_31500/renders	
garden_51	1	160	0.198970	success	5	156	0.524131	success	/mnt/data2/experiments/3dgs/output_Stylized/garden_51/train/ours_31500/renders	
garden_52	1	160	0.247706	success	5	156	0.467897	success	/mnt/data2/experiments/3dgs/output_Stylized/garden_52/train/ours_31500/renders	
garden_53	1	160	0.215263	success	5	156	0.574826	success	/mnt/data2/experiments/3dgs/output_Stylized/garden_53/train/ours_31500/renders	
garden_54	1	160	0.202289	success	5	156	0.496857	success	/mnt/data2/experiments/3dgs/output_Stylized/garden_54/train/ours_31500/renders	
garden_55	1	160	0.262782	success	5	156	0.459267	success	/mnt/data2/experiments/3dgs/output_Stylized/garden_55/train/ours_31500/renders	
garden_56	1	160	0.193474	success	5	156	0.516588	success	/mnt/data2/experiments/3dgs/output_Stylized/garden_56/train/ours_31500/renders	
garden_57	1	160	0.168823	success	5	156	0.477313	success	/mnt/data2/experiments/3dgs/output_Stylized/garden_57/train/ours_31500/renders	
